#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2023-04-22-07-40-37
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	version	user_agent	origin	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	tags	username	password	proxied	orig_fuids	orig_filenames	orig_mime_types	resp_fuids	resp_filenames	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	count	count	count	string	count	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]
1679466554.239197	CjEgu6Ko8TPr2zH4g	192.168.177.25	60065	89.108.82.136	80	1	GET	minipolis.ru	/	-	1.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36	-	0	169	301	Moved Permanently	-	-	(empty)	-	-	-	-	-	-	FsdFkSRwzM9lVU8df	-	text/html
1679467082.816759	COkQXc1iNmiN7z1ebh	192.168.177.25	62014	192.229.221.95	80	1	GET	ocsp.digicert.com	/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQ50otx/h0Ztl+z8SiPI7wEWVxDlQQUTiJUIBiV5uNu5g/6+rkS7QYXjzkCEALnkXH7gCHpP+LZg4NMUMA=	-	1.1	Microsoft-CryptoAPI/10.0	-	0	471	200	OK	-	-	(empty)	-	-	-	-	-	-	FUT7qe4V0D2Xq0kiBb	-	application/ocsp-response
1679467146.174970	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	1	HEAD	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/64eb2031-4a59-45fd-9c7f-2b794e0ff9d2?P1=1680020426&P2=404&P3=2&P4=ilvl2gXIMAwoPNEFTUW099xClLoQcvzYFCLxe6pQC3zZjkKp0LKIMCPgXWa0K+xvBPXZTEyZhU6YnaMWvvqJcw==	-	1.1	Microsoft BITS/7.8	-	0	0	200	OK	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467146.260963	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	2	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/64eb2031-4a59-45fd-9c7f-2b794e0ff9d2?P1=1680020426&P2=404&P3=2&P4=ilvl2gXIMAwoPNEFTUW099xClLoQcvzYFCLxe6pQC3zZjkKp0LKIMCPgXWa0K+xvBPXZTEyZhU6YnaMWvvqJcw==	-	1.1	Microsoft BITS/7.8	-	0	1120	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	FOu48zHhfqAmRCvJc	-	-
1679467149.352662	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	3	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/64eb2031-4a59-45fd-9c7f-2b794e0ff9d2?P1=1680020426&P2=404&P3=2&P4=ilvl2gXIMAwoPNEFTUW099xClLoQcvzYFCLxe6pQC3zZjkKp0LKIMCPgXWa0K+xvBPXZTEyZhU6YnaMWvvqJcw==	-	1.1	Microsoft BITS/7.8	-	0	487	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467155.088927	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	4	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/64eb2031-4a59-45fd-9c7f-2b794e0ff9d2?P1=1680020426&P2=404&P3=2&P4=ilvl2gXIMAwoPNEFTUW099xClLoQcvzYFCLxe6pQC3zZjkKp0LKIMCPgXWa0K+xvBPXZTEyZhU6YnaMWvvqJcw==	-	1.1	Microsoft BITS/7.8	-	0	2521	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467157.219982	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	5	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/64eb2031-4a59-45fd-9c7f-2b794e0ff9d2?P1=1680020426&P2=404&P3=2&P4=ilvl2gXIMAwoPNEFTUW099xClLoQcvzYFCLxe6pQC3zZjkKp0LKIMCPgXWa0K+xvBPXZTEyZhU6YnaMWvvqJcw==	-	1.1	Microsoft BITS/7.8	-	0	4001	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467158.284507	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	6	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/64eb2031-4a59-45fd-9c7f-2b794e0ff9d2?P1=1680020426&P2=404&P3=2&P4=ilvl2gXIMAwoPNEFTUW099xClLoQcvzYFCLxe6pQC3zZjkKp0LKIMCPgXWa0K+xvBPXZTEyZhU6YnaMWvvqJcw==	-	1.1	Microsoft BITS/7.8	-	0	12885	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467162.891432	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	7	HEAD	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	0	200	OK	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467163.108253	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	8	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	43424	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	FzhCq020jiYylYojEb	-	application/chrome-ext
1679467164.202395	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	9	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	83748	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467165.282023	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	10	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	157846	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467166.346906	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	11	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	298341	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467167.413829	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	12	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	643817	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467168.482495	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	13	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	531828	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
1679467169.558435	CcekpK3EmTWSk41uSj	192.168.177.25	62370	178.79.212.129	80	14	GET	msedge.b.tlu.dl.delivery.mp.microsoft.com	/filestreamingservice/files/b655b170-5e68-4584-b766-0ae2337ad60b?P1=1680064409&P2=404&P3=2&P4=POkhQyeE1C5RMVdOBTGUHhNKkLeIPl8DS+TfThwNX9Jz8qfbsFYQmnHssbKKmkIOX6knvZncj3wSdFeGq3sKpQ==	-	1.1	Microsoft BITS/7.8	-	0	241988	206	Partial Content	-	-	(empty)	-	-	-	-	-	-	-	-	-
